year,stage,count,sim
1996,adult,0.13054352465566782,56
1997,adult,0.28149470092185774,56
1998,adult,0.057569281888820364,56
1999,adult,0.07551457138683709,56
2000,adult,1.1439556408113611,56
2001,adult,0.05950921247945452,56
2002,adult,0.07970951083030696,56
2003,adult,0.08291701628602541,56
2004,adult,0.2588071316423139,56
2005,adult,0.1457677698526591,56
2006,adult,0.06739151534648213,56
2007,adult,0.03217308691804284,56
2008,adult,0.01909316219742087,56
2009,adult,0.017922167545935966,56
2010,adult,0.06639772320043434,56
2011,adult,0.018638255812327312,56
2012,adult,0.33972341314904697,56
2013,adult,0.9657465768461431,56
2014,adult,0.5097011301365847,56
2015,adult,0.2387952659812092,56
2016,adult,0.46183177937518693,56
2017,adult,0.8515057487980634,56
1986,first,106.97160882079632,57
1987,first,32.683344763977495,57
1988,first,28.474025797457024,57
1989,first,10.82471983461311,57
1990,first,9.53993013723862,57
1991,first,5.2577794036355705,57
1992,first,2.6827228329056316,57
1993,first,1.0418347490794593,57
1994,first,2.5451673042597562,57
1995,first,3.780990925137537,57
1996,first,4.596406133178966,57
1997,first,1.4238978594959872,57
1998,first,0.3913494429743829,57
1999,first,2.78029224504371,57
2000,first,0.7310172420773652,57
2001,first,0.31799394980801643,57
2002,first,1.7968566232514145,57
2003,first,13.857771562496161,57
2004,first,53.86699954201672,57
2005,first,253.58302341288217,57
2006,first,25.759212434164883,57
2007,first,210.05631226711668,57
2008,first,1868.4812627822555,57
2009,first,894.0944516187216,57
2010,first,112.64323429044538,57
2011,first,232.9440065606366,57
2012,first,2616.0697523223016,57
2013,first,4249.410358636462,57
2014,first,736.5361319371042,57
2015,first,1884.504334667933,57
2016,first,1196.5481100133252,57
2017,first,25829.645784343116,57
1986,second,34.96649161743859,57
1987,second,65.7008239436962,57
1988,second,19.340334517853442,57
1989,second,20.298049591352562,57
1990,second,27.94170063552502,57
1991,second,11.78068457374883,57
1992,second,8.147508494017249,57
1993,second,4.648121975842292,57
1994,second,0.8137499127231181,57
