name,stage,time,middle,lower16,upper84
lambda,NA,5,1.0840638938819387,1.022030822130234,1.1414042778968467
lambda,NA,6,0.9878411169786849,0.9325562487300179,1.0372113635474385
lambda,NA,7,0.8856259697053865,0.8236636655934936,0.9496966454201105
lambda,NA,8,0.9782223863805685,0.9353454208596099,1.0371211214800138
lambda,NA,9,1.039089982436931,0.9912823621792689,1.088191221510858
lambda,NA,10,1.0009213445554637,0.970420903425978,1.0284449059656544
lambda,NA,11,0.9330968357043229,0.8806869224647631,0.9755123119255248
lambda,NA,12,0.9647543944986232,0.9380802608828331,0.992067879367752
lambda,NA,13,1.0063259908719826,0.975921594208696,1.0505100694460328
lambda,NA,14,0.9991319947272923,0.97848275295665,1.0208320325623685
lambda,NA,15,0.9605292420637892,0.9181660362941371,0.9841454129644586
lambda,NA,16,0.9644143159451298,0.9425881882283664,0.9835423438754817
lambda,NA,17,0.9889719926220051,0.970528247060509,1.024407533777349
lambda,NA,18,0.9942545667519811,0.9774846143046432,1.0134300853696172
lambda,NA,19,0.9717960688873463,0.9419575675510496,0.9876847458117781
lambda,NA,20,0.9675013289338081,0.947806179900996,0.983522173042823
lambda,NA,21,0.982261493733696,0.9679206085475495,1.0060880952087075
lambda,NA,22,0.9899211387357119,0.9752583158180055,1.0072659412143794
lambda,NA,23,0.9761966469139673,0.9570113960852392,0.9891930398501064
lambda,NA,24,0.9709985206224028,0.9534480487636618,0.9846372638615978
lambda,NA,25,0.9793935721732587,0.966910956717685,0.9967019781628036
lambda,NA,26,0.9864039048803535,0.9731790988409301,1.0024621374950184
lambda,NA,27,0.9782318005922842,0.9636867336474902,0.98994434735632
lambda,NA,28,0.9732609867286712,0.9579530606647698,0.9857521199223005
lambda,NA,29,0.9783199922460746,0.9662427147455233,0.9925462912831329
lambda,NA,30,0.9836824839279534,0.9716251554814914,0.998976013971073
lambda,NA,31,0.979073698586755,0.9661741971474833,0.9901338090451197
sig_obs_sd,NA,NA,0.9745087541198807,0.9063086162876937,1.0499835424134936
n_sim,NA,NA,3.4318559630886725,2.3201729596447307,4.533697947286703
n_sim,NA,NA,4.582623523076135,3.5126516513241146,5.625627899523076
n_sim,NA,NA,4.065189325843362,3.0016868674463013,5.1062284738525365
n_sim,NA,NA,3.694116756637838,2.694843312502527,4.702856854199207
n_sim,NA,NA,3.558930889033566,2.572561313990686,4.5633612419732055
n_sim,NA,NA,4.23425563189396,3.1696461161943237,5.235252921652429
n_sim,NA,NA,4.0852007760615106,3.1129936151164816,5.132118165394961
n_sim,NA,NA,3.8205997366220688,2.8492029720757905,4.830971847199769
n_sim,NA,NA,3.630508202073692,2.646609196726919,4.638001886213847
n_sim,NA,NA,3.994543129487425,3.0023673285104873,5.000751036177641
