year,name,lower16,middle,upper84,type
2000,lambda,0.8026717869273178,0.8635546495040659,0.9304187912907382,lambda
2000,s_rec,0.10792393057380043,0.14779640723564172,0.20198912617480774,sensitivity
2000,s_s21,0.1610208020629994,0.18130162907488795,0.20535417025723132,sensitivity
2000,s_s32,0.20865551262890197,0.247138498116094,0.2994202791290956,sensitivity
2000,s_s43,0.41119387654660583,0.5029047182778267,0.6542551733305624,sensitivity
2000,s_s44,0.3144996145828715,0.35871026542356577,0.4248565376342168,sensitivity
2001,e_rec,0.195990926866902,0.21437869918732866,0.2289817548986026,elasticity
2001,e_s21,0.1959909268669023,0.21437869918732916,0.22898175489860279,elasticity
2001,e_s32,0.19599092686690198,0.21437869918732866,0.22898175489860284,elasticity
2001,e_s43,0.19599092686690212,0.21437869918732874,0.22898175489860284,elasticity
2001,e_s44,0.0867687537978964,0.1424852032506846,0.22548952738985462,elasticity
2001,lambda,0.8155749746545322,0.8732009990024291,0.9389702927298441,lambda
2001,s_rec,0.103819091368073,0.14015527594353688,0.19380304517644137,sensitivity
2001,s_s21,0.164325987714028,0.1853844857879406,0.20743727052515323,sensitivity
2001,s_s32,0.21150208672055792,0.24880710527860292,0.30455767595517264,sensitivity
2001,s_s43,0.41147292735017865,0.5144750962398472,0.6596220918811109,sensitivity
2001,s_s44,0.3150765653484222,0.3568639024380135,0.4191171455423909,sensitivity
2002,e_rec,0.20127247887408425,0.21818023002612613,0.230911831866225,elasticity
2002,e_s21,0.20127247887408428,0.21818023002612658,0.23091183186622494,elasticity
2002,e_s32,0.2012724788740839,0.2181802300261267,0.23091183186622527,elasticity
2002,e_s43,0.20127247887408375,0.21818023002612671,0.2309118318662251,elasticity
2002,e_s44,0.0794550186727974,0.12727907989549397,0.20597878328474434,elasticity
2002,lambda,0.8714044429561192,0.9298323810527609,0.9984074666959861,lambda
2002,s_rec,0.08550822720111094,0.11450328218156369,0.15209892209928053,sensitivity
2002,s_s21,0.17867978561911624,0.20053941806462408,0.2238875641004074,sensitivity
2002,s_s32,0.2294532700007935,0.2718290861496586,0.32901530388221867,sensitivity
2002,s_s43,0.44873410680483633,0.5612226657017093,0.7161696579512381,sensitivity
2002,s_s44,0.309591264004598,0.34545930992162005,0.4044840874635583,sensitivity
2003,e_rec,0.20154523173799954,0.21954392708548293,0.23141783143709543,elasticity
2003,e_s21,0.20154523173799985,0.21954392708548287,0.23141783143709557,elasticity
2003,e_s32,0.20154523173799962,0.21954392708548287,0.23141783143709538,elasticity
2003,e_s43,0.20154523173799965,0.21954392708548295,0.23141783143709582,elasticity
2003,e_s44,0.07791865073780099,0.1218242916580683,0.20173517866822094,elasticity
2003,lambda,0.8885673335151815,0.9499949098206992,1.018175061100889,lambda
2003,s_rec,0.07895224677204167,0.10564406116710892,0.14381649974755173,sensitivity
2003,s_s21,0.1844639711205429,0.20633589874463398,0.22999101946309447,sensitivity
2003,s_s32,0.23446778959063258,0.2805176087763971,0.33936572664225806,sensitivity
2003,s_s43,0.4639172415698872,0.5781979595636428,0.7323902837881237,sensitivity
2003,s_s44,0.3084389880533505,0.3413682187435513,0.40130138400116566,sensitivity
2004,e_rec,0.20273629976542012,0.2207456014177822,0.2323506710567845,elasticity
2004,e_s21,0.20273629976542012,0.22074560141778213,0.23235067105678447,elasticity
2004,e_s32,0.20273629976542007,0.22074560141778232,0.23235067105678475,elasticity
2004,e_s43,0.20273629976542015,0.22074560141778232,0.23235067105678459,elasticity
2004,e_s44,0.07517844267811884,0.11701759432887088,0.19460056799199962,elasticity
2004,lambda,0.9179653313298284,0.9737186272700191,1.0479321626848614,lambda
2004,s_rec,0.07069412105726454,0.09635994994078653,0.1288955051497868,sensitivity
2004,s_s21,0.1882525380619101,0.21428502426332427,0.23816211149357563,sensitivity
2004,s_s32,0.24494211768861385,0.288970735321307,0.354753198389482,sensitivity
2004,s_s43,0.4805007034469593,0.5912713707789488,0.758458660328146,sensitivity
2004,s_s44,0.30638383200858915,0.3377631957466529,0.3959504259939999,sensitivity
2005,e_rec,0.20613632719993163,0.2221747511602215,0.23305561707733255,elasticity
2005,e_s21,0.2061363271999319,0.22217475116022165,0.23305561707733266,elasticity
2005,e_s32,0.20613632719993208,0.22217475116022156,0.23305561707733258,elasticity
2005,e_s43,0.20613632719993202,0.22217475116022167,0.23305561707733227,elasticity
2005,e_s44,0.0706709518508769,0.11130099535911359,0.18172857522150232,elasticity
2005,lambda,0.9511185287555645,1.0150093352113005,1.103396661593861,lambda
2005,s_rec,0.06052386703541852,0.08257417970718126,0.11395922863275365,sensitivity
2005,s_s21,0.19969149032235972,0.2255443213865997,0.25057873532784536,sensitivity
2005,s_s32,0.2588335906629007,0.3041190062521628,0.37164838494173447,sensitivity
2005,s_s43,0.5032252649141437,0.6281364930602148,0.8024995672697557,sensitivity
2005,s_s44,0.3030032138881576,0.3334757465193351,0.38629643141612674,sensitivity
2006,e_rec,0.20918507119677648,0.22333623674629433,0.23373467431576722,elasticity
2006,e_s21,0.20918507119677598,0.22333623674629477,0.23373467431576744,elasticity
2006,e_s32,0.20918507119677643,0.22333623674629477,0.23373467431576722,elasticity
2006,e_s43,0.2091850711967762,0.22333623674629483,0.23373467431576753,elasticity
2006,e_s44,0.06736793999229153,0.10665505301482124,0.16976007316427438,elasticity
2006,lambda,0.9896057529722748,1.0598830185205994,1.1536309895173016,lambda
2006,s_rec,0.0520354330403526,0.07182012301264754,0.0998370809304319,sensitivity
2006,s_s21,0.20987908789038354,0.23598820984585564,0.26261200357742914,sensitivity
2006,s_s32,0.27190275896986416,0.31926763038463346,0.38924875757537797,sensitivity
2006,s_s43,0.5229278851676805,0.6598238176113189,0.8558287948841704,sensitivity
2006,s_s44,0.3005259549942188,0.3299912897611159,0.3773200548732058,sensitivity
2007,e_rec,0.20929232145984564,0.22343185183279138,0.2340810282840466,elasticity
2007,e_s21,0.20929232145984572,0.22343185183279157,0.23408102828404634,elasticity
