year,stage,count,sim
2013,third,3.888234621044759,19
2014,third,24.715973418496638,19
2015,third,105.48634668880712,19
2016,third,9.133598050472546,19
2017,third,26.67119609322906,19
1986,adult,41.98851878974049,19
1987,adult,14.677947828294936,19
1988,adult,29.62647531048352,19
1989,adult,26.897630398548664,19
1990,adult,4.952872736639477,19
1991,adult,12.210761552988338,19
1992,adult,4.039407383366101,19
1993,adult,9.732702094834057,19
1994,adult,25.797063617360493,19
1995,adult,15.111811163991625,19
1996,adult,22.711878743725226,19
1997,adult,173.26865004557598,19
1998,adult,42.73105499670141,19
1999,adult,11.631670431212305,19
2000,adult,9.403860280038877,19
2001,adult,3.1101459918896253,19
2002,adult,4.10683399630298,19
2003,adult,5.927406880595624,19
2004,adult,4.571714414007386,19
2005,adult,4.04664195510668,19
2006,adult,5.059004739554371,19
2007,adult,19.779442436152447,19
2008,adult,7.470233123009696,19
2009,adult,6.759690591974199,19
2010,adult,41.40741493381147,19
2011,adult,19.6628809133081,19
2012,adult,52.0640519777633,19
2013,adult,26.097071307902482,19
2014,adult,27.788665833362913,19
2015,adult,28.28416075475391,19
2016,adult,83.11896672453078,19
2017,adult,75.90051571097548,19
1986,first,141.73968153607518,20
1987,first,44.8291822504419,20
1988,first,61.986199928538575,20
1989,first,31.507288670811732,20
1990,first,47.03887465508467,20
1991,first,49.50412114624426,20
1992,first,291.6317262281089,20
1993,first,148.31117731344006,20
1994,first,71.35295802541694,20
1995,first,95.23473662372184,20
1996,first,44.139090705942714,20
1997,first,41.8691354911526,20
1998,first,29.441611653712666,20
1999,first,44.640819765545324,20
2000,first,29.05435073987929,20
2001,first,4.498171828505096,20
2002,first,20.612499928466264,20
2003,first,16.875495840954542,20
2004,first,7.181099017586832,20
2005,first,9.169148748042423,20
2006,first,7.968039819184087,20
2007,first,29.665396891904425,20
2008,first,15.45248916597349,20
2009,first,11.647117077044797,20
2010,first,10.903168989082602,20
2011,first,18.129751721927096,20
2012,first,22.24865082194514,20
2013,first,24.498975409155243,20
2014,first,26.928457722473425,20
2015,first,30.30568855863944,20
2016,first,19.810730625060792,20
2017,first,34.35078452478167,20
1986,second,12.607583206957374,20
1987,second,126.6448699629817,20
1988,second,70.62734156092334,20
1989,second,17.95420922890816,20
1990,second,28.16669677020933,20
1991,second,75.46500773716684,20
